ticker,company_name,sector,listing_date,offer_price_idr,underwriter,underwriter_tier,first_day_close,day30_close,first_day_return,day30_return,label_first_day,label_30day
BBYB,PT Bank Neo Commerce Tbk,Banking,2020-01-14,1250,Mirae Asset Sekuritas,2,241.8,265.26,-0.8066,-0.7878,0,0
ACES,PT Aspirasi Hidup Indonesia Tbk,Consumer Goods,2019-11-06,1500,BCA Sekuritas,1,1261.85,1092.62,-0.1588,-0.2716,0,0
BHAT,PT Bhakti Multi Artha Tbk,Banking,2023-06-28,262,Mandiri Sekuritas,1,550.0,496.0,1.0992,0.8931,1,1
COAL,PT Black Diamond Resources Tbk,Mining,2023-04-26,188,RHB Sekuritas Indonesia,2,137.0,101.0,-0.2713,-0.4628,0,0
GTRA,PT Grahaprima Suksesmandiri Tbk,Property,2023-03-24,100,RHB Sekuritas Indonesia,2,199.24,248.55,0.9924,1.4855,1,1
KPAS,PT Cottonindo Ariesta Tbk,Consumer Goods,2023-11-15,2090,Indo Premier Sekuritas,1,62.0,62.0,-0.9703,-0.9703,0,0
HAJJ,PT Arsy Buana Travelindo Tbk,Consumer Goods,2023-07-05,144,RHB Sekuritas Indonesia,2,195.0,150.0,0.3542,0.0417,1,1
DNET,PT Indoritel Makmur Internasional Tbk,Technology,2019-10-17,490,Indo Premier Sekuritas,1,3068.43,3058.43,5.2621,5.2417,1,1
MCOL,PT Prima Andalan Mandiri Tbk,Mining,2023-03-30,250,Mandiri Sekuritas,1,4594.87,4910.55,17.3795,18.6422,1,1
PGEO,PT Pertamina Geothermal Energy Tbk,Energy,2023-02-23,875,BCA Sekuritas,1,759.81,690.34,-0.1316,-0.211,0,0
KRYA,PT Bangun Karya Perkasa Jaya Tbk,Infrastructure,2023-01-25,235,NH Korindo Sekuritas,3,363.15,156.06,0.5453,-0.3359,1,0
CMNT,PT Cemindo Gemilang Tbk,Consumer Goods,2023-01-11,250,Mandiri Sekuritas,1,900.0,900.0,2.6,2.6,1,1
TOBA,PT TBS Energi Utama Tbk,Energy,2021-11-10,2100,BCA Sekuritas,1,506.43,1120.7,-0.7588,-0.4663,0,0
MTEL,PT Dayamitra Telekomunikasi Tbk,Telecommunications,2021-11-22,800,Mandiri Sekuritas,1,679.13,688.01,-0.1511,-0.14,0,0
SMKL,PT Satyamitra Kemas Lestari Tbk,Consumer Goods,2021-07-08,125,Indo Premier Sekuritas,1,210.37,215.54,0.683,0.7244,1,1
PPGL,PT Prima Globalindo Logistik Tbk,Infrastructure,2024-01-04,100,Sinarmas Sekuritas,2,82.43,80.8,-0.1757,-0.192,0,0
CBPE,PT Citra Buana Prasida Tbk,Property,2024-01-10,100,Henan Putihrai Sekuritas,3,133.22,127.3,0.3322,0.273,1,1
RAAM,PT Tripar Multivision Plus Tbk,Mining,2024-02-07,110,RHB Sekuritas Indonesia,2,550.73,496.15,4.0066,3.5105,1,1
IOTF,PT Sumber Sinergi Makmur Tbk,Property,2024-02-19,100,RHB Sekuritas Indonesia,2,216.0,114.0,1.16,0.14,1,1
EAST,PT Eastparc Hotel Tbk,Banking,2024-03-06,100,Mandiri Sekuritas,1,111.43,114.73,0.1143,0.1473,1,1
GULA,PT Aman Agrindo Tbk,Consumer Goods,2024-03-20,850,Indo Premier Sekuritas,1,458.0,484.0,-0.4612,-0.4306,0,0
TOOL,PT Rohartindo Nusantara Luas Tbk,Infrastructure,2024-04-10,100,MNC Sekuritas,2,62.74,60.74,-0.3726,-0.3926,0,0
SLIS,PT Gaya Abadi Sempurna Tbk,Infrastructure,2024-04-17,100,NH Korindo Sekuritas,3,60.0,54.0,-0.4,-0.46,0,0
TGRA,PT. Terregra Asia Energy Tbk,Energy,2024-05-08,100,Indo Premier Sekuritas,1,14.0,10.0,-0.86,-0.9,0,0
GOLD,PT Merdeka Gold Resources Tbk,Mining,2024-05-13,1025,Mandiri Sekuritas,1,322.0,304.0,-0.6859,-0.7034,0,0
HELI,PT Jaya Trishindo Tbk,Technology,2024-06-10,720,BCA Sekuritas,1,169.0,140.0,-0.7653,-0.8056,0,0
IPCM,PT Jasa Armada Indonesia Tbk,Infrastructure,2019-11-20,378,Mandiri Sekuritas,1,121.13,114.29,-0.6796,-0.6976,0,0
EDGE,PT Indointernet Tbk,Technology,2023-07-10,1510,BCA Sekuritas,1,3800.0,3575.0,1.5166,1.3675,1,1
PNGO,PT PINAGO UTAMA Tbk,Consumer Goods,2023-09-12,268,Indo Premier Sekuritas,1,1162.54,1150.04,3.3378,3.2912,1,1
RUNS,PT Global Sukses Solusi Tbk,Infrastructure,2024-07-24,100,RHB Sekuritas Indonesia,2,54.0,54.0,-0.46,-0.46,0,0
GHON,PT Gihon Telekomunikasi Indonesia Tbk,Telecommunications,2019-04-22,350,MNC Sekuritas,2,1073.77,937.76,2.0679,1.6793,1,1
SBMA,PT Surya Biru Murni Acetylene Tbk,Mining,2024-06-05,100,Indo Premier Sekuritas,1,157.7,158.67,0.577,0.5867,1,1
NFCX,PT NFC Indonesia Tbk,Technology,2019-07-12,120,NH Korindo Sekuritas,3,2340.0,2220.0,18.5,17.5,1,1
WMPP,PT Widodo Makmur Perkasa Tbk,Consumer Goods,2021-12-23,250,Mandiri Sekuritas,1,147.0,138.0,-0.412,-0.448,0,0
URBN,PT Urban Jakarta Propertindo Tbk,Property,2019-12-10,284,BCA Sekuritas,1,2280.0,2080.0,7.0282,6.3239,1,1
NETV,PT MDTV Media Technologies Tbk,Technology,2024-07-10,100,MNC Sekuritas,2,210.0,188.0,1.1,0.88,1,1
FWCT,PT Wijaya Cahaya Timber Tbk,Mining,2024-08-05,100,Sinarmas Sekuritas,2,95.25,97.1,-0.0475,-0.029,0,0
PTPS,PT Pulau Subur Tbk,Banking,2024-09-03,100,Indo Premier Sekuritas,1,70.03,77.4,-0.2997,-0.226,0,0
SMLE,PT Sinergi Multi Lestarindo Tbk,Technology,2024-08-14,100,RHB Sekuritas Indonesia,2,54.0,81.0,-0.46,-0.19,0,0
OLIV,PT Oscar Mitra Sukses Sejahtera Tbk,Consumer Goods,2024-09-11,100,NH Korindo Sekuritas,3,10.0,12.0,-0.9,-0.88,0,0
TECH,PT Indosterling Technomedia TBK,Technology,2024-10-15,100,MNC Sekuritas,2,50.0,50.0,-0.5,-0.5,0,0
MPXL,PT MPX Logistics International Tbk,Infrastructure,2024-10-28,100,Indo Premier Sekuritas,1,102.43,98.22,0.0243,-0.0178,1,0
TAYS,PT Jaya Swarasa Agung Tbk,Consumer Goods,2024-11-06,100,RHB Sekuritas Indonesia,2,65.0,57.0,-0.35,-0.43,0,0
DRMA,PT Dharma Polimetal Tbk,Consumer Goods,2021-12-22,400,BCA Sekuritas,1,390.54,502.47,-0.0237,0.2562,0,1
BSML,PT Bintang Samudera Mandiri Lines Tbk,Technology,2024-12-04,100,Sinarmas Sekuritas,2,124.0,136.0,0.24,0.36,1,1
MAPA,PT Map Aktif Adiperkasa Tbk,Consumer Goods,2019-07-05,850,BCA Sekuritas,1,563.25,519.36,-0.3374,-0.389,0,0
INPS,PT Indah Prakasa Sentosa Tbk,Infrastructure,2024-06-26,100,RHB Sekuritas Indonesia,2,121.0,119.0,0.21,0.19,1,1
GJTL,PT. Gajah Tunggal Tbk,Consumer Goods,2019-01-14,1500,Mandiri Sekuritas,1,591.94,654.92,-0.6054,-0.5634,0,0
BELI,PT Global Digital Niaga Tbk,Technology,2022-11-07,450,BCA Sekuritas,1,450.0,476.0,0.0,0.0578,0,1
STRK,PT Lovina Beach Brewery Tbk,Mining,2024-07-17,100,NH Korindo Sekuritas,3,50.0,50.0,-0.5,-0.5,0,0
HRUM,PT Harum Energy Tbk,Mining,2023-10-04,2050,BCA Sekuritas,1,1735.0,1515.0,-0.1537,-0.261,0,0
TOSK,PT Topindo Solusi Komunika Tbk,Technology,2024-11-20,100,MNC Sekuritas,2,138.71,58.46,0.3871,-0.4154,1,0
